sku,name,category,price,popularity
1,Chuckwagon Beans,Cowboy_Food,2.99,0.75
2,Campfire Chili,Cowboy_Food,3.99,0.70
3,Smoky BBQ Sauce,Cowboy_Food,4.49,0.80
4,Trail Beef Jerky,Cowboy_Food,5.99,0.85
5,Cornbread Mix,Cowboy_Food,3.49,0.65
6,Campfire Coffee,Cowboy_Food,7.99,0.60
7,Prairie Honey,Cowboy_Food,6.49,0.55
8,Hardtack Biscuits,Cowboy_Food,2.49,0.50
9,Dried Apple Slices,Cowboy_Food,4.99,0.60
10,Smoked Sausage Links,Cowboy_Food,8.99,0.70
11,Lasso Rope,Ranch_Supplies,14.99,0.65
12,Horse Feed Sack,Ranch_Supplies,19.99,0.50
13,Saddle Oil,Ranch_Supplies,9.99,0.55
14,Work Gloves,Ranch_Supplies,6.99,0.75
15,Fence Wire (50ft),Ranch_Supplies,12.99,0.45
16,Hay Bale Twine,Ranch_Supplies,5.99,0.50
17,Stock Tank Float,Ranch_Supplies,8.49,0.40
18,Branding Iron,Ranch_Supplies,24.99,0.35
19,Cowboy Hat,Western_Apparel,34.99,0.80
20,Cowboy Boots,Western_Apparel,89.99,0.70
21,Red Bandana,Western_Apparel,4.99,0.60
22,Flannel Shirt,Western_Apparel,29.99,0.65
23,Leather Belt,Western_Apparel,19.99,0.55
24,Denim Vest,Western_Apparel,39.99,0.50
25,Riding Spurs,Rodeo_Gear,22.99,0.55
26,Rodeo Rope,Rodeo_Gear,18.99,0.45
27,Bull Rope Rosin,Rodeo_Gear,7.49,0.40
28,Leather Saddlebag,Leather_Goods,59.99,0.45
29,Leather Wallet,Leather_Goods,24.99,0.60
30,Leather Journal,Leather_Goods,14.99,0.50
